"Conglomerado","Vivienda","HOGAR","ID_ADULTO","DIA","MES","HORA_INICIO","MIN_INICIO","HORA_FINAL","MIN_FINAL","701_ACTIVIDAD_FISICA_VIGOROSA_DIAS","702_ACTIVIDAD_FISICA_VIGOROSA_HORAS","702_ACTIVIDAD_FISICA_VIGOROSA_MINUTOS","703_ACTIVIDAD_FISICA_MODERADA_DIAS","704_ACTIVIDAD_FISICA_MODERADA_HORAS","704_ACTIVIDAD_FISICA_MODERADA_MINUTOS","705_CAMINAR_DIAS","706_CAMINAR_HORAS","706_CAMINAR_MINUTOS","707_SENTADO_HORAS","707_SENTADO_MINUTOS"
"005007","036","11","01","28","03","15","25","15","33","1","01","","7","","30","7","","80","","60"
"005007","041","11","03","28","03","08","40","08","50","9","","","3","","20","7","04","","06",""
"005013","114","11","02","27","03","13","32","13","43","9","","","1","","15","7","","60","","380"
"005041","003","11","02","23","11","10","43","10","45","9","","","9","","","7","","30","08",""
"005061","080","11","01","25","11","06","35","06","38","7","05","","7","01","","6","02","","02",""
"005074","078","11","02","28","03","10","32","10","45","2","02","","7","03","","4","01","","05",""
"005074","081","11","02","27","03","10","58","11","10","9","","","1","","30","1","","20","","275"
"005074","157","11","01","30","03","10","59","11","17","1","03","","1","01","","7","07","","","210"
"005074","160","11","01","31","03","18","08","18","19","9","","","3","04","","1","","30","","165"
"005091","094","11","04","13","11","15","37","15","49","3","","40","2","02","","4","","40","02",""
"005091","159","11","01","13","11","18","30","18","42","7","04","","7","","70","7","01","","06",""
"005107","004","11","01","29","11","20","56","20","58","9","","","6","08","","7","05","","04",""
"005107","005","11","02","30","11","07","40","07","42","9","","","2","","30","7","01","","03",""
"005124","018","11","01","28","11","19","18","19","21","3","","30","6","08","","6","02","","","140"
"005124","018","11","02","28","11","09","08","09","25","2","","20","7","","200","3","01","","","250"
"005130","017","11","01","09","03","19","42","19","49","4","","15","9","","","7","","30","","242"
"005130","019","11","01","07","03","17","43","17","52","3","","30","3","03","","1","","200","","150"
"005132","068","11","01","17","04","19","47","19","56","9","","","1","02","","1","","20","","160"
"005132","069","11","02","17","04","08","52","09","10","9","","","1","01","","3","","30","","70"
"005132","069","11","03","17","04","09","25","09","35","2","","20","5","07","","7","04","","","30"
"005138","078","11","01","01","03","06","53","06","57","7","07","","2","","210","5","","40","","170"
"005138","078","11","08","01","03","07","46","07","49","1","","30","2","","35","1","02","","02",""
"005138","176","11","06","02","03","08","59","09","06","1","02","","7","","15","4","","35","","210"
"005149","009","11","01","29","04","08","29","08","48","9","","","1","05","","3","","130","","550"
"005149","009","11","02","26","04","13","00","13","11","1","01","","4","07","","5","","72","","340"
"005155","016","11","01","21","03","11","37","11","46","9","","","7","","10","3","","30","","590"
"005155","016","11","03","21","03","12","19","12","30","1","","85","3","","30","9","","","","350"
"005155","213","11","02","22","03","10","35","10","49","9","","","2","01","","7","04","","04",""
"005155","231","11","02","21","03","08","54","09","05","2","03","","3","","30","2","01","","01",""
"005155","231","11","05","21","03","08","00","08","16","2","","270","3","04","","9","","","","48"
"005158","022","11","02","22","03","16","14","16","29","2","02","","6","","30","2","02","","","450"
"005184","008","22","03","14","03","07","46","07","53","4","","15","3","","10","7","","130","","155"
"005193","041","12","02","28","02","10","37","10","48","9","","","7","","45","7","","20","","200"
"005193","041","12","04","28","02","12","47","12","57","9","","","1","","10","1","","40","","170"
"005193","064","11","02","26","02","20","30","20","35","9","","","1","01","","7","01","","03",""
"005204","076","11","03","26","02","13","10","13","20","9","","","3","","30","6","08","","08",""
"005204","101","11","02","28","02","20","14","20","24","9","","","9","","","7","","90","","330"
"005224","138","12","01","26","10","14","33","14","36","9","","","9","","","9","","","04",""
"005224","164","11","04","25","10","18","59","19","00","9","","","9","","","6","","40","06",""
"005230","057","11","01","27","03","10","23","10","31","9","","","7","02","","1","","20","06",""
"005230","057","11","04","30","03","06","52","06","59","4","05","","3","01","","1","","20","06",""
"005230","062","11","02","27","03","08","12","08","20","9","","","3","04","","2","","20","03",""
"005255","017","11","03","30","10","06","57","07","03","5","","90","5","10","","3","","40","10",""
"005260","056","11","02","30","10","14","20","14","29","9","","","7","","25","2","","20","10",""
"005263","044","11","02","30","10","20","32","20","35","2","05","","3","05","","2","","15","","30"
"005263","076","11","01","30","10","08","38","08","45","9","","","9","","","7","03","","03",""
"005283","086","11","01","15","11","21","15","21","25","1","01","","9","","","7","01","","","90"
"005283","090","11","01","15","11","17","23","17","29","7","","10","7","","60","7","","60","","120"
"005284","023","11","01","30","11","06","54","19","07","7","","440","3","","150","7","02","","06",""
"005284","088","11","01","29","11","11","47","11","59","3","05","","9","","","4","06","","04",""
"005284","088","11","02","03","12","07","30","07","39","9","","","9","","","2","","30","09",""
"005319","028","11","01","03","11","15","50","15","56","9","","","9","","","3","","20","02",""
"005319","094","11","02","05","11","21","50","21","57","9","","","3","01","","3","","20","01",""
"005347","071","11","02","23","03","16","30","16","40","9","","","9","","","3","","70","01",""
"005351","001","11","01","23","03","20","25","20","35","2","01","","1","02","","9","","","","445"
"005351","142","11","02","23","03","14","09","14","20","9","","","2","01","","7","","20","","369"
"005372","054","11","01","04","12","08","10","08","20","1","","20","9","","","2","01","","03",""
"005384","006","11","02","27","10","17","32","17","37","3","","10","1","","30","7","","46","03",""
"005392","084","11","01","09","04","18","24","18","31","9","","","3","04","","3","05","","02",""
"005392","166","11","01","09","04","14","43","14","49","9","","","2","05","","2","01","","04",""
"005392","167","11","01","10","04","08","41","08","46","9","","","7","01","","2","","20","07",""
"005398","013","11","02","29","11","10","00","10","11","9","","","1","01","","7","","10","03",""
"005398","016","11","01","30","11","05","18","05","25","9","","","7","08","","7","","75","","150"
"005398","016","11","02","29","11","06","36","06","45","1","01","","9","","","1","01","","","395"
"005402","015","11","01","05","04","18","51","19","21","9","","","5","","30","3","","70","03",""
"005402","015","11","05","04","04","17","54","18","06","9","","","7","","30","7","","110","03",""
"005402","085","11","01","05","04","08","55","09","00","9","","","7","05","","7","03","","02",""
"005408","005","11","02","28","02","09","46","09","54","9","","","7","","30","7","02","","05",""
